user_id,total_deposit,total_withdrawal,deposit_count,withdrawal_count,total_games,loyalty_points
252,100.00,0.00,1,0,0,1.00
458,0.00,0.00,0,0,32,6.40
618,2000.00,0.00,1,0,107,41.40
922,0.00,0.00,0,0,44,8.80
710,0.00,0.00,0,0,36,7.20
541,0.00,0.00,0,0,0,0.00
765,0.00,0.00,0,0,379,75.80
805,0.00,0.00,0,0,22,4.40
540,0.00,0.00,0,0,35,7.00
923,0.00,0.00,0,0,27,5.40
137,5000.00,0.00,1,0,52,60.40
455,30000.00,0.00,1,0,4,300.80
985,4000.00,0.00,2,0,22,44.40
990,0.00,0.00,0,0,72,14.40
989,5000.00,0.00,1,0,46,59.20
744,0.00,0.00,0,0,11,2.20
677,2000.00,0.00,1,0,7,21.40
39,4000.00,0.00,1,0,57,51.40
748,0.00,0.00,0,0,40,8.00
289,2000.00,0.00,1,0,20,24.00
449,2000.00,0.00,1,0,108,41.60
85,0.00,0.00,0,0,44,8.80
502,3300.00,5335.00,2,1,61,71.88
8,0.00,0.00,0,0,9,1.80
663,20000.00,0.00,2,0,112,222.40
9,0.00,0.00,0,0,48,9.60
565,10000.00,17000.00,2,1,24,189.80
181,0.00,0.00,0,0,44,8.80
439,6332.00,0.00,1,0,5,64.32
535,5000.00,0.00,1,0,5,51.00
494,0.00,0.00,0,0,6,1.20
581,0.00,0.00,0,0,28,5.60
992,0.00,0.00,0,0,47,9.40
412,0.00,0.00,0,0,6,1.20
722,5000.00,0.00,1,0,72,64.40
774,0.00,0.00,0,0,19,3.80
365,0.00,0.00,0,0,70,14.00
515,0.00,0.00,0,0,10,2.00
179,0.00,0.00,0,0,12,2.40
377,0.00,20826.00,0,1,46,113.33
753,0.00,0.00,0,0,19,3.80
43,0.00,0.00,0,0,12,2.40
887,0.00,0.00,0,0,96,19.20
668,3000.00,0.00,1,0,20,34.00
869,0.00,0.00,0,0,27,5.40
121,0.00,0.00,0,0,3,0.60
296,0.00,31688.00,0,3,47,167.84
214,0.00,0.00,0,0,2,0.40
845,0.00,0.00,0,0,29,5.80
194,0.00,0.00,0,0,24,4.80
372,10000.00,0.00,1,0,22,104.40
693,0.00,0.00,0,0,13,2.60
721,0.00,0.00,0,0,11,2.20
667,1000.00,0.00,1,0,6,11.20
110,0.00,0.00,0,0,3,0.60
16,25000.00,33949.00,4,2,40,427.75
139,200.00,0.00,2,0,12,4.40
247,0.00,0.00,0,0,99,19.80
851,2350.00,0.00,3,0,16,26.70
297,0.00,0.00,0,0,1,0.20
89,0.00,0.00,0,0,37,7.40
218,4000.00,0.00,2,0,91,58.20
856,40000.00,0.00,1,0,108,421.60
197,0.00,0.00,0,0,8,1.60
477,10000.00,0.00,1,0,6,101.20
646,0.00,0.00,0,0,7,1.40
545,0.00,0.00,0,0,1,0.20
759,0.00,0.00,0,0,7,1.40
355,0.00,0.00,0,0,4,0.80
597,1000.00,0.00,1,0,8,11.60
654,1200.00,0.00,1,0,21,16.20
651,0.00,0.00,0,0,14,2.80
745,200.00,0.00,1,0,18,5.60
